# equation of state: birch 1st order.  chisq =   0.5913D-07
# a0 = 10.2786 a.u., k0 =  915 kbar, dk0 =  3.96 d2k0 =  0.000 emin =  -15.80790
# a0 =  5.43921 Ang, k0 =  91.5 GPa,  V0 =   271.48 (a.u.)^3,  V0 =   40.23 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  9.70000     -15.77943     -15.77927    -0.00016      22.46      -15.43108
  9.80000     -15.78874     -15.78890     0.00016      17.39      -15.51061
  9.90000     -15.79614     -15.79636     0.00023      12.88      -15.58369
 10.00000     -15.80183     -15.80183     0.00001       8.89      -15.65081
 10.10000     -15.80589     -15.80548    -0.00041       5.34      -15.71234
 10.20000     -15.80731     -15.80744     0.00013       2.21      -15.76751
 10.30000     -15.80782     -15.80786     0.00004      -0.56      -15.81829
 10.40000     -15.80713     -15.80687    -0.00025      -3.01      -15.86460
 10.50000     -15.80447     -15.80458     0.00012      -5.16      -15.90590
 10.60000     -15.80067     -15.80111     0.00044      -7.04      -15.94320
 10.70000     -15.79685     -15.79655    -0.00030      -8.69      -15.97779
